epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,108.902,0.79067,0.96392,0.61275,1.05114,0.93462,0.85119,0.90726,0.57101,0.91084,0.86954,0.90125,0.53399,1.04246,0.9105,0.81482,1.25973,0.000887,0.000887,0.000887
46,111.287,0.73386,0.87864,0.56098,1.00486,0.90442,0.8984,0.93486,0.59047,0.88315,0.86078,0.86919,0.54219,1.0506,1.01523,0.79642,1.25846,0.00087875,0.00087875,0.00087875
47,113.676,0.73458,0.86485,0.56156,1.01924,0.91473,0.9141,0.9498,0.62778,0.85794,0.85016,0.85475,0.47993,0.98313,1.24705,0.72119,1.19996,0.0008705,0.0008705,0.0008705
48,116.071,0.74719,0.87117,0.59742,1.02234,0.87323,0.91343,0.92523,0.53621,0.84865,0.86156,0.88925,0.5272,1.08743,1.11459,0.76223,1.24397,0.00086225,0.00086225,0.00086225
49,118.472,0.80617,0.89638,0.65703,1.06371,0.78346,0.91303,0.88038,0.50346,0.79559,0.90717,0.87458,0.53578,1.10059,0.99771,0.7983,1.26698,0.000854,0.000854,0.000854
50,120.875,0.78032,0.91669,0.59942,1.02828,0.8503,0.91595,0.94312,0.60862,0.84224,0.90484,0.92043,0.55516,0.94541,0.89009,0.79237,1.14214,0.00084575,0.00084575,0.00084575
51,123.319,0.74885,0.84642,0.59708,1.02961,0.8833,0.91679,0.93649,0.5962,0.81792,0.85114,0.84149,0.5298,0.93525,0.98662,0.76554,1.15319,0.0008375,0.0008375,0.0008375
52,125.7,0.79943,0.95132,0.64651,1.04206,0.89766,0.89057,0.93702,0.59113,0.86153,0.85962,0.87278,0.58412,0.97885,0.89058,0.69107,1.17913,0.00082925,0.00082925,0.00082925
53,128.126,0.73963,0.86468,0.56795,1.02161,0.91508,0.87668,0.94443,0.6049,0.86792,0.83406,0.87954,0.59276,0.9455,0.87254,0.6864,1.17075,0.000821,0.000821,0.000821
54,130.578,0.73954,0.8884,0.58293,1.01421,0.89951,0.85825,0.92744,0.60886,0.88029,0.83603,0.88854,0.55015,0.99929,1.08843,0.72564,1.19881,0.00081275,0.00081275,0.00081275
55,132.977,0.72336,0.85814,0.54747,1.0008,0.91035,0.8757,0.93133,0.61439,0.86142,0.83275,0.85848,0.52272,0.98493,1.06534,0.7243,1.18991,0.0008045,0.0008045,0.0008045
56,135.379,0.70281,0.85303,0.57396,1.01736,0.86615,0.90207,0.91593,0.58386,0.85621,0.89181,0.90706,0.53275,1.0455,1.08012,0.73436,1.25766,0.00079625,0.00079625,0.00079625
57,137.774,0.75959,0.85829,0.54157,1.01939,0.83054,0.88548,0.90341,0.58075,0.80845,0.86395,0.88456,0.54704,1.02711,0.91716,0.76558,1.24932,0.000788,0.000788,0.000788
58,140.171,0.75666,0.96434,0.60617,1.0303,0.89684,0.86757,0.92411,0.56921,0.89835,0.83624,0.90342,0.55243,1.05734,0.95849,0.82128,1.23981,0.00077975,0.00077975,0.00077975
59,142.571,0.73241,0.95557,0.55834,1.012,0.89051,0.95213,0.94512,0.62565,0.83528,0.90286,0.91092,0.56299,0.96473,0.86026,0.69217,1.17589,0.0007715,0.0007715,0.0007715
60,144.964,0.71144,0.81497,0.54352,1.0203,0.88977,0.96355,0.94222,0.61543,0.8295,0.89996,0.85499,0.51091,0.93561,0.89131,0.66261,1.13486,0.00076325,0.00076325,0.00076325
61,147.341,0.67616,0.80144,0.52391,0.99349,0.92035,0.94544,0.9471,0.63473,0.86796,0.89382,0.8782,0.54299,0.89575,0.92454,0.64128,1.12423,0.000755,0.000755,0.000755
